Compound_id;Compound_common_name;Compound_synonyms;Molecular_weight;Chemical_formula;Smiles;Links;EC;Reaction_equation;Pathway
CPD-17478;2-[hydroperoxy-(4-glucosyl-hydroxyphenyl)methyl]-6-hydroxy-1-benzofuran-3-one;;450.398;C21 H22 O11 ;C2(C=C(OC1(C(C(C(O)C(O1)CO)O)O))C=CC=2C(OO)C3(OC4(C(C(=O)3)=CC=C(O)C=4)));PUBCHEM:91820401;EC-1.11.2;2-[hydroperoxy-(4-glucosyl-hydroxyphenyl)methyl]-6-hydroxy-1-benzofuran-3-one + a reduced electron acceptor  ->  2-(6-oxo-1-oxaspiro[2.5]octa-4-glucosyl)-6-hydroxy-1-benzofuran-3-one + an oxidized electron acceptor + H2O;hispidol and hispidol 4'-O-beta-D-glucoside biosynthesis
CPD-14991;"kaempferol 3-O-(4\""-O-p-coumaroyl)-glucoside";;594.528;C30 H26 O13 ;C(OC4(C(O)C(O)C(OC3(C(=O)C1(C(=CC(O)=CC(O)=1)OC(C2(C=CC(O)=CC=2))=3)))OC4CO))(=O)C=CC5(C=CC(O)=CC=5);PUBCHEM:90657184;EC-2.3.1;"4-coumaroyl-CoA + kaempferol-3-glucoside + kaempferol-3-glucoside + 4-coumaroyl-CoA + H+ + H+  ->  kaempferol 3-O-(4\""-O-p-coumaroyl)-glucoside + coenzyme A + coenzyme A";flavonol acylglucoside biosynthesis I - kaempferol derivatives
6G-KESTOTETRAOSE;6G-kestotriose;kestotriose;504.441;C18 H32 O16 ;C(C1(OC(C(C1O)O)(OCC2(C(C(O)C(O)C(O2)OC3(OC(C(O)C(O)3)CO)(CO))O))CO))O;CHEMSPIDER:10190530*PUBCHEM:14282017;EC-3.2.1;6G,6-kestotetraose + H2O  ->  D-fructofuranose + 6G-kestotriose;fructan degradation
CPD-4202;trans-zeatin riboside triphosphate;ZTP*zeatin triphosphate*tZRTP;588.277;C15 H21 N5 O14 P3 ;CC(=CCNC3(=NC=NC2(N(C1(C(C(C(O1)COP(OP(=O)([O-])OP(=O)([O-])O)([O-])=O)O)O))C=NC=23)))CO;CHEBI:71938*PUBCHEM:25245231*LIGAND-CPD:C16428;RXN-4310;trans-zeatin riboside triphosphate + H2O  ->  trans-zeatin riboside diphosphate + phosphate + 2 H+;trans-zeatin biosynthesis
CPD-9477;16-alpha-hydroxygypsogenate-28-beta-D-glucoside;16-alpha--hydroxygypsogenic acid-28-beta-D-glucoside;663.824;C36 H55 O11 ;CC5(CCC4(C(CC1(C(=CCC2(C1(CCC3(C2(CCC(C3(C)C(=O)[O-])O)C))C))C4C5)C)O)C(=O)OC6(C(C(C(C(CO)O6)O)O)O))C;PUBCHEM:25243992;EC-2.4.1;UDP-alpha-D-glucose + 16-alpha-hydroxygypsogenate  ->  16-alpha-hydroxygypsogenate-28-beta-D-glucoside + UDP;saponin biosynthesis III
CPD-14848;genistin 7-gentiobioside;genistein 7-<i>O</i>-gentiobioside*genistin 7-<i>O</i>-gentiobioside;594.525;C27 H30 O15 ;C(O)C5(C(O)C(O)C(O)C(OCC4(C(O)C(O)C(O)C(OC3(=CC2(OC=C(C1(C=CC(O)=CC=1))C(=O)C=2C(O)=C3)))O4))O5);PUBCHEM:90657741;EC-2.4.1;UDP-alpha-D-glucose + genistin + genistin + UDP-alpha-D-glucose  ->  UDP + genistin 7-gentiobioside + UDP + H+ + H+;genistin gentiobioside biosynthesis
CPD-4563;biochanin A-7-O-glucoside;biochanin A 7-O-&beta;;;;;;;
CPD-8012;kaempferol 3-O-rhamnoside-7-O-glucoside;;594.525;C27 H30 O15 ;CC1(C(O)C(O)C(O)C(O1)OC4(C(=O)C5(C(O)=CC(OC2(C(C(C(C(O2)CO)O)O)O))=CC(OC(C3(=CC=C(O)C=C3))=4)=5)));PUBCHEM:25243998;EC-2.4.1;UDP-alpha-D-glucose + kaempferol-3-rhamnoside  ->  kaempferol 3-O-rhamnoside-7-O-glucoside + UDP;kaempferol glycoside biosynthesis (Arabidopsis)
CPD-15083;orientin;luteolin 8-C-glucoside*8C-hexosyl luteolin*lutexin;447.374;C21 H19 O11 ;C(C4(C(C(C(C(C1(=C(C=C(C2(=C1OC(=CC2=O)C3(=CC(O)=C(C=C3)O)))O)[O-]))O4)O)O)O))O;PUBCHEM:90658326*METABOLIGHTS:MTBLC7781*HMDB:HMDB30614*LIPID_MAPS:LMPK12110470*CHEBI:7781*LIGAND-CPD:C10114*PUBCHEM:5281675;EC-4.2.1;1-(3,4-dihydroxyphenyl)-3-(3-C-glucosyl-2,4,6-trihydroxyphenyl)propane-1,3-dione  ->  orientin + H2O + H2O;eriodictyol C-glucosylation
CPD-19470;1-hydroxyglucobrassicin;1-hydroxy-3-indolylmethyl-glucosinolate;463.453;C16 H19 N2 O10 S2 ;C2(=C(C1(C=CC=CC=1N(O)2))CC(=NOS(=O)(=O)[O-])SC3(OC(CO)C(O)C(O)C(O)3));PUBCHEM:123131529;EC-2.1.1;S-adenosyl-L-methionine + 1-hydroxyglucobrassicin  ->  neoglucobrassicin + S-adenosyl-L-homocysteine + H+;glucosinolate biosynthesis from tryptophan
CPD-10348;isovitexin-7-O-glucosyl-2''O-rhamnoside;isovitexin-7-O-&beta;;;;;;;
CPD-16762;gossypetin 7-O-glucoside;gossypetin 7-<i>O</i>-glucopyranoside*gossypitrin;479.373;C21 H19 O13 ;C1(C=C(C(=CC=1C3(=C(C(C2(=C(C=C(C(=C2O3)O)OC4(C(C(C(O)C(O4)CO)O)O))O))=O)[O-]))O)O);PUBCHEM:90658329*KNAPSACK:C00005688;EC-2.4.1.237;gossypetin + UDP-alpha-D-glucose  ->  gossypetin 7-O-glucoside + UDP + H+;gossypetin metabolism
CPD-15717;beta-maltose;&alpha;;;;;;;
CPD-16559;delphinidin 3-O-rutinoside-7-O-(6-O-(p-hydroxybenzoyl)-glucoside);;892.774;C40 H44 O23 ;CC7(C(O)C(O)C(O)C(OCC1(C(O)C(O)C(O)C(O1)OC3(C(C2(C=C(O)C(O)=C(O)C=2))=[O+]C6(C(C=3)=C([O-])C=C(OC5(OC(COC(=O)C4(C=CC(O)=CC=4))C(O)C(O)C(O)5))C=6))))O7);PUBCHEM:90658852;EC-2.4.1;delphinidin 3-O-rutinoside-7-O-(6-O-(p-hydroxybenzoyl)-glucoside) + 1-O-4-hydroxybenzoyl-beta-D-glucose  ->  delphinidin 3-O-rutinoside-7-O-(6-O-(4-O-(glucosyl)-oxybenzoyl)-glucoside) + 4-hydroxybenzoate + H+;violdelphin biosynthesis
CPD-18099;pelargonidin 3-O-beta-D-(p-coumaroyl)-sambubioside;pelargonidin 3-<i>O</i>-[2\*-<i>O</i>-xylosyl;709.636;C35 H33 O16 ;C1(C=C(O)C=CC=1C=CC(=O)OCC6(OC(OC3(C(=[O+]C2(C(=C([O-])C=C([O-])C=2)C=3))C4(=CC=C(O)C=C4)))C(OC5(OCC(O)C(O)C(O)5))C(O)C(O)6));PUBCHEM:102515242;EC-2.3.1;pelargonidin 3-O-beta-D-sambubioside + 4-coumaroyl-CoA  ->  pelargonidin 3-O-beta-D-(p-coumaroyl)-sambubioside + coenzyme A;anthocyanidin acylglucoside and acylsambubioside biosynthesis
GIBBERELLIN;gibberellin A3;GA<sub>3</sub>*gibberellic acid*gibberellin A3*gibberellin*gibberellin A<sub>3</sub>;345.371;C19 H21 O6 ;C=C1(C3(O)(CC4(C1)(C([CH]5(C2(C(=O)OC(C=CC(O)2)([CH](CC3)4)5)(C)))C([O-])=O)));HMDB:HMDB03559*LIPID_MAPS:LMPR0104170002*DRUGBANK:DB07814*CHEBI:28833*PUBCHEM:25200591*LIGAND-CPD:C01699*NCI:19450;EC-1.14.11;gibberellin A5 + 2-oxoglutarate + oxygen  ->  gibberellin A3 + succinate + CO2;gibberellin biosynthesis V
PHOSPHORIBOSYL-ATP;1-(5-phospho-beta-D-ribosyl)-ATP;1-(5-Phosphoribosyl)-ATP*1-(5-phosphoribosyl)-ATP*N1-(5-phospho-D-ribosyl)-ATP*5-phosphoribosyl-ATP*1-(5-phospho-D-ribosyl)-ATP*phosphoribosyl-ATP;714.24;C15 H20 N5 O20 P4 ;C(C4(C(C(C(N3(C(C2(=C(N(C1(C(C(C(O1)COP(OP(=O)([O-])OP(=O)([O-])O)(=O)[O-])O)O))C=N2)N=C3))=N))O4)O)O))OP([O-])([O-])=O;PUBCHEM:90658853*BIGG:prbatp*HMDB:HMDB03665*DRUGBANK:DB01661*CHEBI:73200*BIGG:40470*PUBCHEM:49859690*LIGAND-CPD:C02739;EC-2.4.2.17;1-(5-phospho-beta-D-ribosyl)-ATP + diphosphate  <-  ATP + 5-phospho-alpha-D-ribose 1-diphosphate + H+;L-histidine biosynthesis
CPD-14507;rebaudioside B;;804.881;C38 H60 O18 ;C=C1(CC57(CC1C(OC4(OC(CO)C(O)C(OC2(OC(CO)C(O)C(O)C(O)2))C(OC3(OC(CO)C(O)C(O)C(O)3))4))CC(C6(C(CC5)C(C(O)=O)(C)CCC6)C)7));PUBCHEM:90658854*CAS:58543-17-2;EC-2.4.1;rebaudioside B + UDP-alpha-D-glucose  ->  rebaudioside A + UDP + H+;steviol glucoside biosynthesis (rebaudioside A biosynthesis)
CPD-10539;glucodigifucoside;;682.804;C35 H54 O13 ;CC2(OC(C(O)C(O)C(OC1(OC(CO)C(O)C(O)C(O)1))2)OC6(CC7(CCC5(C(CCC4(C)(C(C3(COC(=O)C=3))CCC(O)45))C(CC6)(C)7))));PUBCHEM:25202411;RXN-9823;UDP-alpha-D-glucose + digiproside  ->  glucodigifucoside + UDP + H+;cardenolide glucosides biosynthesis
CPD-7148;pelargonidin-3-O-rutinoside-5-O-beta-D-glucoside;;740.668;C33 H40 O19 ;CC6(C(C(C(C(OCC5(OC(OC1(=CC3(C(=CC(=CC([O+]=C1C2(C=CC(=CC=2)O))=3)[O-])OC4(C(C(C(C(O4)CO)O)O)O))))C(C(C5O)O)O))O6)O)O)O);PUBCHEM:90658862*METABOLIGHTS:MTBLC31969*CHEBI:31969*LIGAND-CPD:C12645;EC-2.4.1.116;UDP-alpha-D-glucose + pelargonidin-3-O-rutinoside  ->  pelargonidin-3-O-rutinoside-5-O-beta-D-glucoside + UDP + H+;pelargonidin conjugates biosynthesis
CPD-10519;indole-3-acetyl-CoA;IAA-CoA*indole-3-acetyl-coenzyme A;932.769;C31 H51 N8 O17 P3 S1 ;C5(N=C(C1(=C(N(C=N1)C2(OC(C(OP(O)(=O)O)C(O)2)COP(=O)(OP(=O)(OCC(C)(C)C(O)C(=O)NCCC(=O)NCCSC(=O)CC3(C4(C(NC3)CCCC4)))O)O))N=5))N);;EC-3.1.2;indole-3-acetyl-CoA + H2O  ->  (indol-3-yl)acetate + coenzyme A;IAA biosynthesis VII
CPD-10600;4-hydroxybenzoyl-acetyl-CoA;3-(4-hydroxyphenyl)-3-oxo-propanoyl-CoA*3-(4-hydroxyphenyl)-3-keto-propanoyl-CoA*3-(4-hydroxyphenyl)-3-keto-propionyl-CoA*3-(4-hydroxyphenyl)-3-oxo-propionyl-CoA*<i>p</i>-hydroxybenzoyl-acetyl-CoA;925.647;C30 H38 N7 O19 P3 S1 ;CC(C)(C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)C1(C=CC(O)=CC=1))COP(=O)(OP(=O)(OCC2(C(OP([O-])(=O)[O-])C(O)C(O2)N4(C3(=C(C(N)=NC=N3)N=C4))))[O-])[O-];PUBCHEM:25200630*PUBCHEM:46173252;EC-2.3.1.16;4-hydroxybenzoyl-CoA + acetyl-CoA  <-  4-hydroxybenzoyl-acetyl-CoA + coenzyme A;4-hydroxybenzoate biosynthesis V
CPD-14840;(+)-sesaminol 2-O-beta-D-glucosyl (1->2)-O-[beta-D-glucosyl (1->6)]-beta-D-glucoside;;856.784;C38 H48 O22 ;C1(OC9(C(O1)=CC=C(C2(OC[CH]3(C(OC[CH]23)C7(C(OC4(C(C(C(O)C(O4)COC5(C(C(C(O)C(O5)CO)O)O))O)OC6(C(C(C(O)C(O6)CO)O)O)))=CC8(=C(C=7)OCO8)))))C=9));PUBCHEM:101394490*PUBCHEM:90658872;EC-2.4.1;UDP-alpha-D-glucose + (+)-sesaminol 2-O-beta-D-gentiobioside + UDP-alpha-D-glucose  ->  UDP + (+)-sesaminol 2-O-beta-D-glucosyl (1->2)-O-[beta-D-glucosyl (1->6)]-beta-D-glucoside + UDP + H+ + H+;sesaminol glucoside biosynthesis
CPD-458;galactinol;1-O-&alpha;;;;;;;
|a-radical-of-luteolin-7-iOi-diglucuronid|;a radical of luteolin-7-O-diglucuronide;;635.468;C27 H23 O18 ;C(C5(OC(OC1(C(C(C(C([O-])=O)OC1OC4(C=C3(C(C(C=C(C2(=CC=C(C(=C2)O)O))O3)=O)=C(C=4)O)))O)O))C(C(C5O)O)O))([O-])=O;;EC-1.11.1.7;2 luteolin 7-O-beta-D-diglucuronide + hydrogen peroxide  ->  2 a radical of luteolin-7-O-diglucuronide + 2 H2O;luteolin triglucuronide degradation
CPD-14911;eupatolitin 3-glucoside;eupatolitin 3-<i>O</i>-glucoside;508.435;C23 H24 O13 ;COC3(=C(OC)C(O)=C2(C(=O)C(=C(C1(C=C(O)C(O)=CC=1))OC2=C3)OC4(C(C(C(O)C(O4)CO)O)O)));PUBCHEM:10368986*PUBCHEM:44259789;EC-2.4.1;UDP-alpha-D-glucose + eupatolitin + UDP-alpha-D-glucose  ->  UDP + eupatolitin 3-glucoside + UDP;eupatolitin 3-O-glucoside biosynthesis
CPD-11685;quercetin 4'-O-glucoside;QMG;463.374;C21 H19 O12 ;C(O)C4(OC(OC1(=CC=C(C=C(O)1)C2(OC3(C=C(O)C=C(O)C(C(=O)C([O-])=2)=3))))C(O)C(O)C(O)4);PUBCHEM:54758556;EC-3.2.1;quercetin 4'-O-glucoside + H2O + H2O  ->  quercetin + D-glucopyranose;quercetin glucoside degradation (Allium)
MALTOSE;maltose;&alpha;;;;;;;
CPD-8949;tellimagrandin II;cornustannin 2*eugeniin;938.672;C41 H30 O26 ;C1(OC(=O)C7(=C(C6(=C(O)C(=C(C=C(C(=O)OC5(C1OC(OC(C2(C=C(O)C(O)=C(O)C=2))=O)C(OC(=O)C3(C=C(O)C(O)=C(O)C=3))C(OC(=O)C4(C=C(O)C(O)=C(O)C=4))5))6)O)O))C(O)=C(O)C(O)=C7));METABOLIGHTS:MTBLC4916*HMDB:HMDB39265*CHEBI:4916*CHEMSPIDER:391036*PUBCHEM:442679*LIGAND-CPD:C10224;EC-1.10.3;4 tellimagrandin II + oxygen  ->  2 cornusiin E + 2 H2O;cornusiin E biosynthesis
CPD-9772;4-(1-methyl-2-pyrrolidinyl)-3-oxobutanoyl-CoA;N-methylpyrrolidineacetoacetyl-CoA;931.717;C30 H46 N8 O18 P3 S1 ;CC(C)(C(O)C(=O)NCCC(=O)NCCSC(CC(CC1([N+](CCC1)C))=O)=O)COP(=O)(OP(=O)(OCC2(C(OP([O-])(=O)[O-])C(O)C(O2)N4(C3(=C(C(N)=NC=N3)N=C4))))[O-])[O-];PUBCHEM:90658346*PUBCHEM:25200659;RXN-9197;4-(1-methyl-2-pyrrolidinyl)-3-oxobutanoyl-CoA  ->  4-(1-methyl-2-pyrrolidinyl)-3-oxobutanoate methyl ester + coenzyme A;cocaine biosynthesis
4-HYDROXY-BUTYRYL-COA;4-hydroxybutanoyl-CoA;4-hydroxybutyryl-CoA;849.593;C25 H38 N7 O18 P3 S1 ;CC(C)(C(O)C(=O)NCCC(=O)NCCSC(=O)CCCO)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-];REFMET:4-hydroxybutanoyl-CoA*PUBCHEM:45266688*CHEBI:58574*LIGAND-CPD:C11062;EC-4.2.1.120;4-hydroxybutanoyl-CoA  ->  crotonyl-CoA + H2O;crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered)
CPD-15084;8-C-glucosyl chrysin;chrysin 8-C-glucoside;416.384;C21 H20 O9 ;C(C4(C(C(C(C(C1(=C(C=C(C2(=C1OC(=CC2=O)C3(C=CC=CC=3)))O)O))O4)O)O)O))O;PUBCHEM:90658886;EC-4.2.1;1-phenyl-3-(3-C-glucosyl-2,4,6-trihydroxyphenyl)propane-1,3-dione  ->  8-C-glucosyl chrysin + H2O + H2O;pinocembrin C-glucosylation
CPD-15176;baicalein 7-O-beta-D-glucoside;baicalein 7-<i>O</i>-glucoside;432.383;C21 H20 O10 ;C1(C=CC(=CC=1)C2(=CC(=O)C4(=C(O2)C=C(OC3(C(C(C(O)C(O3)CO)O)O))C(O)=C(O)4)));PUBCHEM:5320313;EC-2.4.1;UDP-alpha-D-glucose + baicalein + baicalein + UDP-alpha-D-glucose  ->  UDP + baicalein 7-O-beta-D-glucoside + UDP + H+ + H+;baicalein metabolism
CPD-229;gibberellin A8-catabolite;GA<sub>8</sub>-catabolite*gibberellin A<sub>8</sub>-catabolite*gibberellin A8-catabolite*GA8-catabolite;360.363;C19 H20 O7 ;C=C1(C2(O)(CC3(C1)(C([CH]4(C(C(=O)[O-])(C)C(O)C(=O)C=C([CH](CC2)3)4))C([O-])=O)));REFMET:Gibberellin A8-catabolite*METABOLIGHTS:MTBLC29604*LIPID_MAPS:LMPR0104170027*CHEBI:29604*PUBCHEM:25202462*LIGAND-CPD:C11870;EC-1.14.11;gibberellin A8 + 2-oxoglutarate + oxygen  ->  gibberellin A8-catabolite + succinate + CO2 + H+ + H2O;gibberellin inactivation I (2beta-hydroxylation)
CPD-11521;3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-hexanoyl-CoA;OPC6-CoA;1011.867;C37 H56 N7 O18 P3 S1 ;CCC=CCC1(C(CCC(=O)1)CCCCCC(SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC2(C(OP([O-])(=O)[O-])C(O)C(O2)N4(C3(=C(C(N)=NC=N3)N=C4))))[O-])[O-])=O);PUBCHEM:126961015*PUBCHEM:44237133;EC-1.3.3.6;3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-hexanoyl-CoA + oxygen  ->  3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(E-hexa-2-enoyl)-CoA + hydrogen peroxide;jasmonic acid biosynthesis
CPD-14981;"isorhamnetin 3-O-(6\""-O-feruloyl)-glucoside";;654.58;C32 H30 O15 ;COC5(C=C(C=CC(OCC4(OC(OC3(C(=O)C1(C(=CC(O)=CC(O)=1)OC(C2(C=C(OC)C(O)=CC=2))=3)))C(O)C(O)C(O)4))=O)C=CC(O)=5);PUBCHEM:90657785;EC-2.3.1;"4-coumaroyl-CoA + isorhamnetin 3-O-(6\""-O-feruloyl)-glucoside + 4-coumaroyl-CoA  ->  isorhamnetin 3-O-(3\""-O-p-coumaroyl, 6\""-O-feruloyl)-glucoside + coenzyme A + coenzyme A";flavonol acylglucoside biosynthesis II - isorhamnetin derivatives
CPD-14969;isorhamnetin 3-O-glucoside;isorhamnetin 3-glucoside;478.409;C22 H22 O12 ;COC1(=CC(=CC=C(O)1)C3(OC4(C(C(=O)C(OC2(C(C(C(O)C(O2)CO)O)O))=3)=C(O)C=C(O)C=4)));PUBCHEM:5318645*METABOLIGHTS:MTBLC75750*CHEBI:75750*PUBCHEM:44258009;EC-2.3.1;"4-coumaroyl-CoA + isorhamnetin 3-O-glucoside + 4-coumaroyl-CoA  ->  isorhamnetin 3-O-(4\""-O-p-coumaroyl)-glucoside + coenzyme A + coenzyme A";flavonol acylglucoside biosynthesis II - isorhamnetin derivatives
CPD-14594;linustatin;propanenitrile*[2-(6-<i>O</i>-&beta;;;;;;;
CPD-9587;rhamnosylisoorientin;;593.517;C27 H29 O15 ;CC1(C(O)C(O)C(O)C(O1)OC5(C(C4(=C(O)C3(=C(OC(C2(=CC=C(O)C(O)=C2))=CC3=O)C=C([O-])4)))OC(CO)C(O)C(O)5));PUBCHEM:90657789*METABOLIGHTS:MTBLC28596*LIPID_MAPS:LMPK12110495*CHEBI:28596*PUBCHEM:25202480;RXN-9085;rhamnosylisoorientin  ->  maysin;maysin biosynthesis
10-DEACETYLBACCATIN-III;10-deacetylbaccatin III;;544.597;C29 H36 O10 ;CC3(C(O)CC2(O)(C(OC(C1(C=CC=CC=1))=O)[CH]4(C(C)(C(=O)C(O)C(C(C)(C)2)=3)C(O)CC5(OCC(OC(=O)C)45))));CHEMSPIDER:135935*PUBCHEM:154272*CHEBI:18193*LIGAND-CPD:C11700;EC-2.3.1.167;10-deacetylbaccatin III + acetyl-CoA  ->  baccatin III + coenzyme A;taxol biosynthesis
CPD-8160;1-18:1-2-16:0-digalactosyldiacylglycerol;18:1-16:0-DGDG;919.241;C49 H90 O15 ;CCCCCCCCC=CCCCCCCCC(OCC(COC2(OC(COC1(OC(CO)C(O)C(O)C(O)1))C(O)C(O)C(O)2))OC(=O)CCCCCCCCCCCCCCC)=O;PUBCHEM:90658365*PUBCHEM:25244086;EC-1.14.19.23;1-18:1-2-16:0-digalactosyldiacylglycerol + 2 a reduced ferredoxin [iron-sulfur] cluster + oxygen + 2 H+  ->  1-18:2-2-16:0-digalactosyldiacylglycerol + 2 an oxidized ferredoxin [iron-sulfur] cluster + 2 H2O;glycolipid desaturation
ISOVALERYL-COA;isovaleryl-CoA;3-methylbutyryl-CoA*3-methylbutanoyl-CoA*isovaleryl-coenzyme A*iso-valeryl-CoA;847.62;C26 H40 N7 O17 P3 S1 ;CC(CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-])C;REFMET:Isovaleryl-CoA*PUBCHEM:45266576*METABOLIGHTS:MTBLC57345*HMDB:HMDB01113*CHEBI:57345*PUBCHEM:25244093*LIGAND-CPD:C02939*CAS:6244-91-3;EC-2.3.1.156;isovaleryl-CoA + 3 malonyl-CoA + 3 H+  ->  phlorisovalerophenone + 3 CO2 + 4 coenzyme A;hyperforin and adhyperforin biosynthesis
CPD-8258;fagopyritol A3;<i>O</i>-&alpha;;;;;;;
|Gentiobiose|;gentiobiose;&beta;;;;;;;
CPD1F-139;gibberellin A1;GA<sub>1</sub>*gibberellin A<sub>1</sub>*GA1*gibberellin 1;347.387;C19 H23 O6 ;C=C1(C3(O)(CC4(C1)(C([CH]5(C2(C(=O)OC(CCC(O)2)([CH](CC3)4)5)(C)))C([O-])=O)));CHEBI:27717*CHEBI:5341*PUBCHEM:25202506*LIGAND-CPD:C00859;EC-1.14.11.13;gibberellin A1 + 2-oxoglutarate + oxygen  ->  gibberellin A8 + succinate + CO2;gibberellin inactivation I (2beta-hydroxylation)
CPD-14275;(3R)-3-hydroxy-arachidoyl-CoA;;1074.021;C41 H70 N7 O18 P3 S1 ;CCCCCCCCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(C(O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OCC1(C(OP(=O)([O-])[O-])C(O)C(O1)N3(C=NC2(C(N)=NC=NC=23))))=O;PUBCHEM:72193813*CHEBI:76373;EC-4.2.1.134;(3R)-3-hydroxy-arachidoyl-CoA  ->  trans-arachido-2-enoyl-CoA + H2O;very long chain fatty acid biosynthesis II
CPD-9207;(3R)-3-amino-3-phenylpropanoyl-CoA;(3<i>R</i>)-&beta;;;;;;;
CPD-3421;genistin;genistein 7-<i>O</i>-glucoside;432.383;C21 H20 O10 ;C(O)C4(C(O)C(O)C(O)C(OC3(=CC2(OC=C(C1(C=CC(O)=CC=1))C(=O)C=2C(O)=C3)))O4);PUBCHEM:5281377*CHEBI:27514*HMDB:HMDB33988*CHEBI:5303*CHEMSPIDER:19265428*PUBCHEM:12310088*LIGAND-CPD:C09126;RXN-3590;genistin + H2O  ->  genistein + D-glucopyranose + H+;genistein conjugates interconversion
CPD-7862;delphinidin 3-O-(6''-O-malonyl)-beta-glucoside;;548.413;C24 H20 O15 ;C(OC(CC(=O)[O-])=O)C1(C(O)C(O)C(O)C(O1)OC3(C(C2(=CC(O)=C(O)C(O)=C2))=[O+]C4(C(C=3)=C([O-])C=C([O-])C=4)));PUBCHEM:86289400*CHEBI:77887*HMDB:HMDB29247*CHEBI:55334*PUBCHEM:25244104*LIGAND-CPD:C16301;RXN-8208;UDP-alpha-D-glucose + delphinidin 3-O-(6''-O-malonyl)-beta-glucoside  ->  delphinidin-3-O-(6''-O-malonyl)-beta-glucoside-3'-O-beta-glucoside + UDP;ternatin C5 biosynthesis
CPD-11520;3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(3-oxooctanoyl)-CoA;OPC8-3-ketoacyl-CoA;1053.904;C39 H58 N7 O19 P3 S1 ;CCC=CCC1(C(CCC(=O)1)CCCCCC(=O)CC(SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC2(C(OP([O-])(=O)[O-])C(O)C(O2)N4(C3(=C(C(N)=NC=N3)N=C4))))[O-])[O-])=O);PUBCHEM:126961059*PUBCHEM:44237200;EC-2.3.1.16;3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-hexanoyl-CoA + acetyl-CoA  <-  3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(3-oxooctanoyl)-CoA + coenzyme A;jasmonic acid biosynthesis
CPD-17633;22-oxo-docosanoyl-CoA;22-oxo-behenoyl-CoA;1100.059;C43 H72 N7 O18 P3 S1 ;CC(C)(C(O)C(=O)NCCC(=O)NCCSC(=O)CCCCCCCCCCCCCCCCCCCC[CH]=O)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-];PUBCHEM:91819993;EC-1.2.1;22-oxo-docosanoyl-CoA + NADP+ + H2O  ->  22-carboxy-docosanoyl-CoA + NADPH + 2 H+;suberin monomers biosynthesis
CPD-16535;cyanidin 3-O-beta-D-sambubioside;"sambicyanin*cyanidin 3-sambubioside*cyanidin-3-xyloglucoside*cyanidin 3-<i>O</i>-[2\*-<i>O</i>-*ARRAY(0x12006b8)*]*glucoside""";579.49;C26 H27 O15 ;C5(C(C4([O+]=C1(C(C([O-])=CC([O-])=C1)=CC(OC3(OC(C(O)C(O)C(OC2(OCC(O)C(O)C(O)2))3)CO))=4)))=CC(O)=C(O)C=5);PUBCHEM:44256719*CHEBI:74811*PUBCHEM:102514937*LIGAND-CPD:C20490*CHEBI:74811*METABOLIGHTS:MTBLC74811*CHEMSPIDER:5034738*KNAPSACK:C00006657;EC-2.3.1;cyanidin 3-O-beta-D-sambubioside + 4-coumaroyl-CoA + H+  ->  cyanidin 3-O-beta-D-(p-coumaroyl)-sambubioside + coenzyme A;anthocyanidin acylglucoside and acylsambubioside biosynthesis
CPD-8011;quercetin 3-O-rhamnoside-7-O-glucoside;;610.524;C27 H30 O16 ;CC1(C(O)C(O)C(O)C(O1)OC4(C(=O)C5(C(O)=CC(OC2(C(C(C(C(O2)CO)O)O)O))=CC(OC(C3(=CC=C(O)C(=C3)O))=4)=5)));PUBCHEM:25245356;EC-2.4.1;UDP-alpha-D-glucose + quercetin 3-O-rhamnoside  ->  quercetin 3-O-rhamnoside-7-O-glucoside + UDP;quercetin glycoside biosynthesis (Arabidopsis)
